%Bassin de Beterou				
%code lacune 	-9999			
%surface bassin	10080	km2		
%coordonnées (lat, lon)	9.199	2.267		
%date	annee	P	ETP	Q m3 /s

30   10   03 06   00	2003	0	3.71	39.05
31   10   03 06   00	2003	0.08	3.35	34.45
01   11   03 06   00	2003	0.04	2.77	31.64
02   11   03 06   00	2003	0.05	2.9	29.37
03   11   03 06   00	2003	0.05	3.56	28.67
04   11   03 06   00	2003	3.85	2.85	27.29
05   11   03 06   00	2003	0.18	3.81	21.9
06   11   03 06   00	2003	0.03	2.89	20.7
07   11   03 06   00	2003	0.01	3.13	20.09
08   11   03 06   00	2003	0	3.57	19.24
09   11   03 06   00	2003	1.6	3.53	17.53
10   11   03 06   00	2003	0.09	3.74	16.99
11   11   03 06   00	2003	0.07	3.46	16.45
12   11   03 06   00	2003	0.84	2.96	15.89
15   11   03 06   00	2003	0	2.91	12.1
16   11   03 06   00	2003	0.1	3.64	11.5
17   11   03 06   00	2003	0	3.52	11.06
18   11   03 06   00	2003	0	3.4	10.02
19   11   03 06   00	2003	0	3.28	8.51
20   11   03 06   00	2003	0	2.98	7.85
21   11   03 06   00	2003	0	3.21	7.62
22   11   03 06   00	2003	0	3.6	7.31
23   11   03 06   00	2003	0	3.6	7.06
26   11   03 06   00	2003	0	2.86	5.95
27   11   03 06   00	2003	0	3.25	5.82
28   11   03 06   00	2003	0	2.98	5.67
29   11   03 06   00	2003	0	2.77	5.28
30   11   03 06   00	2003	0	2.84	4.62
01   12   03 06   00	2003	0.04	3.13	4.51
02   12   03 06   00	2003	0.11	2.63	4.4
03   12   03 06   00	2003	0.69	2.42	4.29
04   12   03 06   00	2003	0	2.19	4.18
05   12   03 06   00	2003	0	2.42	4.07
06   12   03 06   00	2003	33.19	3.11	3.94
07   12   03 06   00	2003	0.47	2.99	3.67
08   12   03 06   00	2003	0	4.03	3.4
09   12   03 06   00	2003	0	3.57	3.29
10   12   03 06   00	2003	0	2.93	3.21
